"","X","patch","patch_tree","patch_total_veg","water_present","patch_size","patch_tree_scaled","patch_total_veg_scaled","patch_size_scaled"
"1",1,"p_1",0.332064364420356,0.808716513068932,1,0.736548495476343,0.205015597847134,0.0599786570523038,0.417306229791649
"2",2,"p_2",0.214806366836912,0.726880547428968,0,0.020187286748474,-0.28361336817504,-0.328322809641731,-0.130783604470786
"3",3,"p_3",0.892595876745733,0.898747506096209,0,0.0180402736883564,2.54082158920807,0.487164508249007,-0.132426289778061
"4",4,"p_4",0.963553530751708,0.976765375854214,0,0.00439291831887327,2.83651114406018,0.857349585414925,-0.142867917062519
"5",5,"p_5",0.21941703006656,0.689178333715859,0,0.0174107582854947,-0.264400149008679,-0.507215119006295,-0.132907933659132
"6",6,"p_6",0.993700787401575,0.993700787401575,0,0.00064747399760969,2.96213859079145,0.937706004398708,-0.145733566307997
"7",7,"p_7",0.37172900306136,0.804631971249834,0,0.0375480455286037,0.370303183907136,0.040598014730484,-0.117500842525358
"8",8,"p_8",0.330805999670348,0.787621559254986,0,0.0121347946452222,0.19977183213949,-0.0401142720375198,-0.136944587238276
"9",9,"p_9",0.320116986274054,0.812389909933863,0,0.060193089682113,0.155229355965005,0.0774084677626377,-0.100175060021022
"10",10,"p_10",0.710232112785648,0.932975614239932,1,6.54968570578477,1.78088862719142,0.649572619284715,4.86495271221457
"11",11,"p_11",0.726114649681529,0.962941517081644,0,0.00171867174452171,1.84707317529203,0.791757096894954,-0.144913990110383
"12",12,"p_12",0.369136696435755,0.748813259312897,0,0.0123980670968498,0.359500713012301,-0.224254822828017,-0.136743156797012
"13",13,"p_13",0.254309215696547,0.896274296641693,0,0.91612554746767,-0.118999980678996,0.475429437352976,0.554701101909372
"14",14,"p_14",0.374906246651666,0.859396764170149,0,0.0373234167406708,0.383543161412525,0.300450137789795,-0.117672706598466
"15",15,"p_15",0.174143897823945,0.869191499872442,1,1.1093019253214,-0.453059040105226,0.346924939050324,0.702500853810077
